source_row,work_order_id,equipment_id,maintenance_date,maintenance_type,cost_eur,downtime_hours,failure_flag,quarantine_reason
W0139,WO-00139,EQ-0031,2025-05-24,Planned,618.45,2.38,0,orphan_equipment_id
W0218,WO-00218,EQ-0006,2025-12-13,Planned,559.71,2.61,0,orphan_equipment_id
W0251,WO-00251,EQ-0031,2025-06-09,Planned,372.61,1.08,0,orphan_equipment_id
W0260,WO-00260,EQ-0006,2025-09-19,Planned,350.27,1.37,0,orphan_equipment_id
W0262,WO-00262,EQ-0032,2025-09-25,Corrective,2110.39,18.11,1,orphan_equipment_id
W0322,WO-00322,EQ-0005,2025-05-10,Corrective,2308.98,20.01,1,orphan_equipment_id
W0368,WO-00368,EQ-0032,2025-01-28,Planned,581.26,0.66,0,orphan_equipment_id
W0384,WO-00384,EQ-0006,2025-06-28,Corrective,2953.11,9.69,1,orphan_equipment_id
W0417,WO-00417,EQ-0005,2025-10-19,Planned,344.12,1.27,0,orphan_equipment_id
W0491,WO-00491,EQ-0006,2025-07-12,Corrective,925.95,9.90,1,orphan_equipment_id
W0516,WO-00516,EQ-0032,2025-04-27,Planned,603.66,0.88,0,orphan_equipment_id
W0535,WO-00535,EQ-0031,2025-06-30,Corrective,3067.34,9.45,1,orphan_equipment_id
W0577,WO-00577,EQ-0032,2025-07-11,Planned,547.49,0.52,0,orphan_equipment_id
W0601,WO-00601,EQ-0154,2025-05-28,Planned,-900.00,2.81,0,invalid_cost_eur
W0602,WO-00602,EQ-0125,2025-02-30,Planned,203.66,1.74,0,invalid_maintenance_date
W0603,WO-00603,EQ-9999,2025-10-23,Planned,467.22,1.06,0,orphan_equipment_id
W0604,WO-00604,EQ-0120,2025-07-25,Planned,556.74,0.93,2,invalid_failure_flag
