source_row,work_order_id,equipment_id,maintenance_date,maintenance_type,cost_eur,downtime_hours,failure_flag
W0001,WO-00001,EQ-0154,2025-05-28,Planned,422.23,2.81,0
W0002,WO-00002,EQ-0125,2025-08-23,Planned,203.66,1.74,0
W0003,WO-00003,EQ-0173,2025-10-23,Planned,467.22,1.06,0
W0004,WO-00004,EQ-0120,2025-07-25,Planned,556.74,0.93,0
W0005,WO-00005,EQ-0003,2025-09-12,Planned,219.07,3.80,0
W0006,WO-00006,EQ-0093,2025-10-17,Planned,554.13,3.78,0
W0007,WO-00007,EQ-0130,2025-05-30,Planned,156.74,1.79,0
W0008,WO-00008,EQ-0121,2025-03-15,Planned,281.73,1.31,0
W0009,WO-00009,EQ-0167,2025-05-06,Corrective,2062.75,19.22,1
W0010,WO-00010,EQ-0176,2025-11-17,Planned,298.46,1.76,0
W0011,WO-00011,EQ-0039,2025-03-24,Planned,597.47,3.44,0
W0012,WO-00012,EQ-0056,2025-03-27,Planned,330.20,0.85,0
W0013,WO-00013,EQ-0007,2025-08-19,Corrective,622.74,23.14,1
W0014,WO-00014,EQ-0008,2025-08-24,Planned,233.26,1.02,0
W0015,WO-00015,EQ-0083,2025-11-18,Planned,562.19,3.19,0
W0016,WO-00016,EQ-0158,2025-01-04,Planned,737.52,1.67,0
W0017,WO-00017,EQ-0014,2025-08-09,Planned,224.93,3.52,0
W0018,WO-00018,EQ-0025,2025-07-13,Planned,214.47,3.32,0
W0019,WO-00019,EQ-0141,2025-06-30,Planned,357.05,2.28,0
W0020,WO-00020,EQ-0139,2025-03-01,Corrective,3198.45,19.10,1
W0021,WO-00021,EQ-0113,2025-04-14,Corrective,1849.45,7.86,1
W0022,WO-00022,EQ-0034,2025-02-15,Planned,679.85,2.14,0
W0023,WO-00023,EQ-0164,2025-02-08,Planned,220.77,0.98,0
W0024,WO-00024,EQ-0164,2025-07-09,Planned,126.05,3.97,0
W0025,WO-00025,EQ-0014,2025-12-25,Planned,295.79,3.43,0
W0026,WO-00026,EQ-0134,2025-05-25,Planned,259.95,3.23,0
W0027,WO-00027,EQ-0174,2025-05-21,Corrective,2713.84,7.55,1
W0028,WO-00028,EQ-0104,2025-04-04,Planned,477.09,2.84,0
