equipment_id,plant,equipment_type,criticality,work_order_count,failure_count,maintenance_cost_eur,corrective_cost_eur,downtime_hours,mean_corrective_downtime_hours,last_maintenance_date
EQ-0007,NORTH,Compressor,B,5,5,11193.95,11193.95,83.5,16.7,2025-12-27
EQ-0051,SOUTH,Compressor,B,5,4,10214.07,9746.02,54.01,12.69,2025-11-15
EQ-0020,EAST,Valve,B,7,4,9414.05,8284.68,68.18,15.29,2025-12-21
EQ-0022,NORTH,Motor,B,6,4,8592.78,7503.88,57.93,13.66,2025-10-24
EQ-0091,NORTH,Compressor,B,6,4,7932.79,7095.41,88.08,21.0,2025-12-27
EQ-0096,SOUTH,Valve,B,7,3,9784.99,7640.34,43.26,12.59,2025-10-03
EQ-0171,SOUTH,Compressor,B,5,3,9298.01,8172.83,21.12,5.06,2025-11-15
EQ-0139,NORTH,Compressor,B,7,3,8181.52,6402.58,40.2,10.13,2025-12-05
EQ-0017,EAST,Pump,B,6,3,7693.25,6430.51,33.02,8.62,2025-12-24
EQ-0029,EAST,Pump,B,5,3,6941.25,5940.38,43.28,12.08,2025-12-09
EQ-0067,NORTH,Compressor,B,3,3,6893.5,6893.5,41.77,13.92,2025-05-06
EQ-0156,SOUTH,Valve,A,6,3,6586.16,5384.31,49.96,14.5,2025-12-25
EQ-0003,SOUTH,Compressor,B,5,3,6564.51,5808.47,25.43,7.02,2025-12-05
EQ-0167,EAST,Compressor,C,5,3,6244.24,5814.62,70.49,21.23,2025-11-18
EQ-0110,EAST,Motor,B,4,3,5916.58,5575.91,30.62,9.74,2025-12-03
EQ-0062,EAST,Motor,B,3,3,5766.92,5766.92,47.47,15.82,2025-11-16
EQ-0105,SOUTH,Pump,A,6,3,5753.13,4381.4,51.47,13.78,2025-11-28
EQ-0165,SOUTH,Pump,A,3,3,5304.6,5304.6,43.9,14.63,2025-11-30
EQ-0084,SOUTH,Valve,A,5,3,5056.53,4310.96,46.14,14.12,2025-11-03
EQ-0027,SOUTH,Compressor,B,5,3,4688.89,3821.74,27.67,7.19,2025-06-09
EQ-0040,NORTH,Valve,B,4,3,4306.37,4081.19,38.1,11.91,2025-12-13
EQ-0014,EAST,Motor,B,7,2,7192.82,5248.68,58.98,21.66,2025-12-25
EQ-0085,NORTH,Pump,C,6,2,7100.24,5038.98,24.38,5.56,2025-12-23
EQ-0109,NORTH,Pump,B,4,2,7069.55,6008.79,39.22,18.23,2025-07-20
EQ-0074,EAST,Motor,B,8,2,7011.11,3579.12,43.5,15.38,2025-09-06
EQ-0038,EAST,Motor,A,9,2,7005.82,4432.67,33.34,8.15,2025-12-08
EQ-0127,NORTH,Compressor,A,8,2,7002.74,3853.58,48.55,18.69,2025-12-30
EQ-0030,SOUTH,Motor,C,7,2,6823.82,3929.53,45.6,16.12,2025-12-27
EQ-0087,SOUTH,Compressor,B,6,2,6491.14,4955.3,37.17,12.16,2025-12-08
EQ-0063,SOUTH,Compressor,A,2,2,6481.41,6481.41,21.28,10.64,2025-12-01
EQ-0083,EAST,Compressor,B,6,2,6335.48,4354.14,31.69,11.76,2025-11-29
EQ-0131,EAST,Compressor,A,3,2,6153.42,6037.07,17.47,7.21,2025-06-23
EQ-0028,NORTH,Valve,B,5,2,5513.04,4425.94,38.59,16.06,2025-11-07
EQ-0021,SOUTH,Pump,C,3,2,5449.35,5098.09,42.9,20.15,2025-11-07
EQ-0164,EAST,Valve,B,4,2,4954.8,4607.98,34.59,14.82,2025-07-09
EQ-0066,SOUTH,Motor,B,4,2,4824.53,3682.94,34.04,15.06,2025-07-17
EQ-0179,EAST,Compressor,C,2,2,4793.24,4793.24,29.27,14.64,2025-10-03
EQ-0124,NORTH,Valve,B,5,2,4766.29,3588.73,20.47,7.98,2025-12-03
EQ-0088,NORTH,Valve,A,4,2,4536.85,4006.5,18.44,6.88,2025-10-21
EQ-0095,EAST,Compressor,C,2,2,4108.94,4108.94,20.92,10.46,2025-07-15
EQ-0068,EAST,Valve,C,2,2,3927.76,3927.76,33.03,16.52,2025-12-26
